title,is_answered,creation_timestamp,creation_date,year,month,answer_count,score,view_count,tags,year_month,comparative_year,Technology
How can I convert a pyspark.sql.dataframe.DataFrame back to a sql table in databricks notebook,True,1471647833,2016-08-20,2016,8,1,10,14040,"['python', 'sql', 'apache-spark', 'pyspark', 'databricks']",201608,1,Databricks
Parsing datetime from ISO 8601 using Spark SQL,True,1471977955,2016-08-23,2016,8,2,3,9136,"['date', 'apache-spark-sql', 'databricks']",201608,1,Databricks
spark: schema change -- transform &amp; filter a dataframe on a column if it exits; don&#39;t if it doesn&#39;t,False,1472228423,2016-08-26,2016,8,1,0,1077,"['scala', 'apache-spark', 'apache-spark-sql', 'spark-dataframe', 'databricks']",201608,1,Databricks
Exploding nested Struct in Spark dataframe,True,1472744479,2016-09-01,2016,9,3,27,61335,"['scala', 'apache-spark', 'apache-spark-sql', 'distributed-computing', 'databricks']",201609,1,Databricks
"Libraries not resolving in sbt within intellij, but resolves and compiles from commandline",False,1472892095,2016-09-03,2016,9,0,2,106,"['scala', 'intellij-idea', 'apache-spark', 'spark-dataframe', 'databricks']",201609,1,Databricks
Does spark process large file in the single worker,True,1472894513,2016-09-03,2016,9,1,0,207,"['apache-spark', 'spark-dataframe', 'databricks']",201609,1,Databricks
Writing Spark RDD as text file to S3 bucket,True,1473027737,2016-09-04,2016,9,1,0,1430,"['scala', 'apache-spark', 'rdd', 'spark-dataframe', 'databricks']",201609,1,Databricks
Apache Spark Not able to view output,True,1473090315,2016-09-05,2016,9,1,1,1384,"['apache-spark', 'pyspark', 'databricks']",201609,1,Databricks
Handle null value for DateType in apache spark,False,1473415410,2016-09-09,2016,9,0,0,576,"['scala', 'apache-spark', 'amazon-redshift', 'databricks']",201609,1,Databricks
Spark 2.0 - Databricks xml reader Input path does not exist,True,1474128294,2016-09-17,2016,9,1,0,384,"['apache-spark', 'apache-spark-sql', 'databricks']",201609,1,Databricks
Spark com.databricks.spark.csv is not able to load a snappy compressed file using node-snappy,False,1474755848,2016-09-24,2016,9,1,1,1685,"['apache-spark', 'pyspark', 'snappy', 'databricks', 'apache-spark-2.0']",201609,1,Databricks
Using curl within a Databricks+Spark notebook,True,1475073467,2016-09-28,2016,9,2,1,6040,"['curl', 'apache-spark', 'databricks']",201609,1,Databricks
sample spark CSV and JSON program not running in windows,True,1476078239,2016-10-10,2016,10,1,0,238,"['scala', 'apache-spark', 'databricks']",201610,1,Databricks
"Databircks.CSV.Write after applying UDF - spark 2.0.0, scala 2.11.8",False,1476224659,2016-10-11,2016,10,0,1,158,"['scala', 'apache-spark', 'intellij-idea', 'spark-csv', 'databricks']",201610,1,Databricks
java.io.FileNotFoundException in Spark,False,1476729928,2016-10-17,2016,10,1,1,3419,"['scala', 'apache-spark', 'databricks']",201610,1,Databricks
Spark - reducing dataframe size &amp; caching it,True,1476909303,2016-10-19,2016,10,1,1,943,"['apache-spark', 'spark-dataframe', 'databricks']",201610,1,Databricks
Spark SQL - Reading JSON using JSON Schema (official standard for schema),False,1477316737,2016-10-24,2016,10,0,3,177,"['apache-spark', 'apache-spark-sql', 'spark-dataframe', 'databricks', 'apache-spark-2.0']",201610,1,Databricks
Unable to save the correct file format to S3 using Databricks (python),True,1477612154,2016-10-28,2016,10,1,0,234,"['python', 'amazon-s3', 'databricks']",201610,1,Databricks
RDD from Dataset results in a Serialization Error with Spark 2.x,True,1477751552,2016-10-29,2016,10,1,4,913,"['scala', 'apache-spark', 'apache-spark-dataset', 'databricks', 'apache-spark-2.0']",201610,1,Databricks
Spark - Reading JSON from Partitioned Folders using Firehose,True,1477858856,2016-10-30,2016,10,2,8,5035,"['apache-spark', 'apache-spark-sql', 'databricks', 'spark-structured-streaming']",201610,1,Databricks
How to access execution_date in SimpleHttpOperator in Airflow,False,1477974755,2016-11-01,2016,11,1,2,953,"['rest', 'jinja2', 'airflow', 'databricks']",201611,1,Databricks
how to write &quot;DATE&quot; data type in spark-csv,False,1477987300,2016-11-01,2016,11,1,-1,1472,"['apache-spark', 'spark-dataframe', 'spark-csv', 'databricks']",201611,1,Databricks
Getting &quot;null&quot; when selecting second or futher columns in Spark DataFrame,False,1478172075,2016-11-03,2016,11,0,0,43,"['python', 'apache-spark', 'spark-dataframe', 'pyspark-sql', 'databricks']",201611,1,Databricks
writing rdd from spark to Elastic Search fails,True,1478889518,2016-11-11,2016,11,1,3,785,"['hadoop', 'elasticsearch', 'apache-spark', 'databricks']",201611,1,Databricks
Pyspark reads csv - NameError: name &#39;spark&#39; is not defined,True,1479903856,2016-11-23,2016,11,2,2,5774,"['apache-spark', 'pyspark', 'databricks']",201611,1,Databricks
Spark dataframe save in single file on hdfs location,True,1480010518,2016-11-24,2016,11,1,8,20989,"['csv', 'apache-spark', 'dataframe', 'databricks']",201611,1,Databricks
Pyspark error with UDF: py4j.Py4JException: Method __getnewargs__([]) does not exist error,True,1480349598,2016-11-28,2016,11,1,3,4880,"['python', 'apache-spark', 'pyspark', 'databricks']",201611,1,Databricks
Spark 2.0.0 truncate from Redshift table using jdbc,True,1480936170,2016-12-05,2016,12,2,0,1856,"['apache-spark', 'apache-spark-sql', 'amazon-redshift', 'databricks']",201612,1,Databricks
"How to do a simple table read, duplicate a whole row, and save it as a new table?",False,1480960493,2016-12-05,2016,12,0,0,87,"['python', 'json', 'databricks', 'spark-notebook']",201612,1,Databricks
Not able to read text file from local file path - Spark CSV reader,True,1482569685,2016-12-24,2016,12,2,1,3052,"['apache-spark-sql', 'spark-csv', 'databricks']",201612,1,Databricks
Spark with Scala: write null-like field value in Cassandra instead of TupleValue,False,1482847607,2016-12-27,2016,12,1,0,682,"['scala', 'apache-spark', 'cassandra', 'databricks']",201612,1,Databricks
Spark SQL get max &amp; min dynamically from datasource,True,1483453077,2017-01-03,2017,1,1,2,1376,"['apache-spark', 'pyspark', 'apache-spark-sql', 'pyspark-sql', 'databricks']",201701,2,Databricks
How to convert RDD string(xml format) to dataframe in spark java?,False,1483509631,2017-01-04,2017,1,0,1,1241,"['java', 'apache-spark', 'spark-streaming', 'distributed-computing', 'databricks']",201701,2,Databricks
Zeppelin 6.5 + Apache Kafka connector for Structured Streaming 2.0.2,True,1483718619,2017-01-06,2017,1,1,2,1840,"['streaming', 'apache-zeppelin', 'apache-spark-2.0', 'apache-kafka-connect', 'databricks']",201701,2,Databricks
Confused about the behavior of Reduce function in map reduce,True,1483785359,2017-01-07,2017,1,1,0,115,"['python-2.7', 'apache-spark', 'mapreduce', 'pyspark', 'databricks']",201701,2,Databricks
How to connect Tableau to Databricks Spark cluster?,False,1483932778,2017-01-09,2017,1,1,0,1008,"['tableau-api', 'databricks']",201701,2,Databricks
Scala case class object &#39;key not found&#39; when used as a HashMap key in Spark,True,1484167134,2017-01-11,2017,1,2,0,944,"['scala', 'apache-spark', 'hashmap', 'case-class', 'databricks']",201701,2,Databricks
Read Separate Directories &amp; Create Separate RDDs in Parallel via Scala Spark,True,1484182514,2017-01-12,2017,1,1,2,699,"['scala', 'apache-spark', 'rdd', 'concurrent.futures', 'databricks']",201701,2,Databricks
How to run a main method from Spark (in Databricks),True,1484668989,2017-01-17,2017,1,1,1,2154,"['scala', 'apache-spark', 'jar', 'databricks']",201701,2,Databricks
Spark 2.0 CSV Error,True,1484762395,2017-01-18,2017,1,2,0,3106,"['csv', 'apache-spark', 'apache-spark-2.0', 'databricks']",201701,2,Databricks
spark - redshift - s3: class path conflict,True,1484839541,2017-01-19,2017,1,1,3,668,"['amazon-web-services', 'apache-spark', 'amazon-s3', 'amazon-redshift', 'databricks']",201701,2,Databricks
spark-redshift - Error save using Spark 2.1.0,True,1484919064,2017-01-20,2017,1,1,2,1488,"['spark-streaming', 'amazon-redshift', 'databricks']",201701,2,Databricks
How to write dataframe into hive table simultaneously based on certain value,False,1485274008,2017-01-24,2017,1,0,1,121,"['scala', 'apache-spark', 'spark-dataframe', 'databricks']",201701,2,Databricks
How Size of Driver Memory &amp; Executor memory is allocated when using Spark on Amazon EMR,True,1485339811,2017-01-25,2017,1,1,2,8135,"['amazon-web-services', 'apache-spark', 'amazon-ec2', 'amazon-emr', 'databricks']",201701,2,Databricks
read from XML source with custom schema errors,False,1485419813,2017-01-26,2017,1,1,0,234,"['pyspark', 'spark-dataframe', 'databricks']",201701,2,Databricks
How to load all xml files from a Hdfs directory using spark databricks xml parser,True,1486063360,2017-02-02,2017,2,3,1,4608,"['scala', 'apache-spark', 'spark-dataframe', 'databricks']",201702,2,Databricks
"Iterate over a list of files, extracting their contents? (SparkContext error)",True,1486402575,2017-02-06,2017,2,1,0,552,"['python', 'apache-spark', 'pyspark', 'databricks']",201702,2,Databricks
Read files from S3 with DataFrameReader,True,1486651910,2017-02-09,2017,2,1,0,519,"['java', 'amazon-web-services', 'apache-spark', 'amazon-s3', 'databricks']",201702,2,Databricks
Combining the logs from multiple directories in Spark,True,1487071101,2017-02-14,2017,2,1,0,659,"['scala', 'apache-spark', 'pyspark', 'pyspark-sql', 'databricks']",201702,2,Databricks
spark-redshift: This type of correlated subquery pattern is not supported due to internal error,False,1487610340,2017-02-20,2017,2,0,2,985,"['apache-spark', 'amazon-redshift', 'databricks']",201702,2,Databricks
Getting [Amazon](500150) Connection reset by peer in Spark/Redshift specific query,False,1487638511,2017-02-21,2017,2,0,1,672,"['apache-spark', 'amazon-redshift', 'databricks']",201702,2,Databricks
Error in caching a simple RDD with pyspark while without caching the code works fine (How to make a class picklable in a notebook),True,1488213972,2017-02-27,2017,2,1,1,312,"['python', 'apache-spark', 'pyspark', 'pickle', 'databricks']",201702,2,Databricks
Windows (Spyder): How to read csv file using pyspark,False,1488693456,2017-03-05,2017,3,1,2,1235,"['apache-spark', 'pyspark', 'databricks']",201703,2,Databricks
com.databricks.spark.csv version requirement,True,1488962522,2017-03-08,2017,3,1,1,128,"['scala', 'apache-spark', 'databricks']",201703,2,Databricks
44: error: value read is not a member of object org.apache.spark.sql.SQLContext,True,1488971845,2017-03-08,2017,3,1,0,3065,"['scala', 'apache-spark', 'databricks']",201703,2,Databricks
Error::java.lang.RuntimeException: Error in configuring object,False,1488980426,2017-03-08,2017,3,0,0,646,"['scala', 'apache-spark', 'databricks']",201703,2,Databricks
Finding and imputing null values: Any package for data preprocessing in Spark + Scala?,False,1489430755,2017-03-13,2017,3,0,0,65,"['scala', 'apache-spark', 'databricks']",201703,2,Databricks
pyspark on EMR connect to redshift datasource,True,1490127232,2017-03-21,2017,3,1,1,2559,"['scala', 'apache-spark', 'pyspark', 'amazon-redshift', 'databricks']",201703,2,Databricks
Data is getting wrapped in the double quotes for Hive&#39;s CHAR data types if there is trailing space in it,False,1490191325,2017-03-22,2017,3,0,0,24,"['csv', 'apache-spark', 'apache-spark-sql', 'databricks']",201703,2,Databricks
Spark csv data validation failed for date and timestamp data types of Hive,False,1490279880,2017-03-23,2017,3,2,0,711,"['csv', 'apache-spark', 'hive', 'apache-spark-sql', 'databricks']",201703,2,Databricks
How to load in Spark 2.1 XML file with repeating tags and attributes?,False,1490701498,2017-03-28,2017,3,1,0,376,"['xml', 'parsing', 'apache-spark', 'xml-parsing', 'databricks']",201703,2,Databricks
Spark - avro data not visible when queried from hive,True,1490765694,2017-03-29,2017,3,2,0,139,"['apache-spark', 'hive', 'databricks']",201703,2,Databricks
NoSuchMethodError using Databricks Spark-Avro 3.2.0,True,1491192892,2017-04-03,2017,4,2,3,1010,"['apache-spark', 'avro', 'databricks', 'spark-avro']",201704,2,Databricks
PySpark Mongodb / java.lang.NoClassDefFoundError: org/apache/spark/sql/DataFrame,True,1491310314,2017-04-04,2017,4,2,1,1055,"['mongodb', 'pyspark', 'connector', 'databricks']",201704,2,Databricks
Fail to read .zip file in spark,False,1491483917,2017-04-06,2017,4,0,2,796,"['hadoop', 'apache-spark', 'databricks']",201704,2,Databricks
Strange error I can&#39;t do anything with the data frame but it&#39;s not empty,False,1491602368,2017-04-07,2017,4,0,0,58,"['scala', 'apache-spark', 'amazon-redshift', 'databricks']",201704,2,Databricks
input_file_name not working in spark-xml,False,1492008571,2017-04-12,2017,4,1,0,931,"['apache-spark', 'apache-spark-sql', 'spark-dataframe', 'databricks']",201704,2,Databricks
Apache Spark Dataset API - Does not accept schema StructType,True,1493116192,2017-04-25,2017,4,2,1,554,"['java', 'csv', 'apache-spark', 'spark-dataframe', 'databricks']",201704,2,Databricks
Python Spark Databricks binary classification tutorial - How to make prediction for unlabelled data?,False,1493562059,2017-04-30,2017,4,1,1,331,"['python', 'apache-spark', 'pyspark', 'databricks']",201704,2,Databricks
"Spark, databricks, save to CSV no columns name",True,1493747490,2017-05-02,2017,5,1,0,288,"['csv', 'spark-dataframe', 'databricks']",201705,2,Databricks
Data Movement Within the Hadoop / Spark Ecosystem,True,1494340865,2017-05-09,2017,5,2,2,382,"['hadoop', 'apache-spark', 'cloudera', 'azure-hdinsight', 'databricks']",201705,2,Databricks
Can I use a python function in DataFrame.selectExpr,True,1494980575,2017-05-17,2017,5,1,0,961,"['apache-spark', 'pyspark', 'databricks']",201705,2,Databricks
Adding constant value column to spark dataframe,True,1495048387,2017-05-17,2017,5,2,9,36165,"['apache-spark', 'pyspark', 'databricks']",201705,2,Databricks
Empty Files in output spark,True,1495080011,2017-05-18,2017,5,3,0,4113,"['apache-spark', 'databricks']",201705,2,Databricks
mount S3 to databricks,True,1495085356,2017-05-18,2017,5,2,4,5335,"['scala', 'amazon-web-services', 'amazon-s3', 'databricks']",201705,2,Databricks
Hivecontext and hive results are not consistent for decimal values spark,False,1495367493,2017-05-21,2017,5,0,1,235,"['hadoop', 'apache-spark', 'databricks']",201705,2,Databricks
Databricks Spark-Redshift: Sortkeys not working,False,1495805898,2017-05-26,2017,5,1,1,252,"['scala', 'apache-spark', 'amazon-redshift', 'databricks']",201705,2,Databricks
How to know the file formats supported by Databricks?,False,1496300063,2017-06-01,2017,6,2,0,2436,"['apache-spark', 'apache-spark-sql', 'databricks']",201706,2,Databricks
How do I view min/max index in parquet metadata?,True,1496426522,2017-06-02,2017,6,2,4,2763,"['apache-spark', 'parquet', 'databricks']",201706,2,Databricks
Spark dataframe databricks csv appends extra double quotes,True,1496843505,2017-06-07,2017,6,1,1,2937,"['apache-spark', 'apache-spark-sql', 'databricks']",201706,2,Databricks
Changing final structure of JSON file in a dataFrame using databricks?,True,1496935500,2017-06-08,2017,6,1,1,56,"['python', 'json', 'databricks']",201706,2,Databricks
Reading csv data into SparkR after writing it out from a DataFrame,True,1497029294,2017-06-09,2017,6,1,0,284,"['sparkr', 'databricks']",201706,2,Databricks
count throws java.lang.NumberFormatException: null on the file loaded from object store with inferSchema enabled,True,1497196054,2017-06-11,2017,6,1,0,313,"['apache-spark', 'apache-spark-sql', 'databricks', 'spark-csv']",201706,2,Databricks
Will calling dataframe.distinct() result in shuffling the contents to the driver for a final distinction?,True,1497201741,2017-06-11,2017,6,1,1,583,"['scala', 'apache-spark', 'dataframe', 'databricks']",201706,2,Databricks
spark dropDuplicates based on json array field,True,1497289888,2017-06-12,2017,6,2,0,1657,"['scala', 'apache-spark', 'databricks']",201706,2,Databricks
Efficient way to load csv file in spark/scala,True,1497374677,2017-06-13,2017,6,1,1,499,"['scala', 'csv', 'apache-spark', 'databricks']",201706,2,Databricks
Spark Create a dataframe from an InputStream?,True,1497462327,2017-06-14,2017,6,1,4,2755,"['scala', 'apache-spark', 'databricks']",201706,2,Databricks
Spark SQL: set avro Schema option using SQL API,False,1498232029,2017-06-23,2017,6,0,1,407,"['scala', 'apache-spark', 'apache-spark-sql', 'avro', 'databricks']",201706,2,Databricks
equality of two data frames,True,1498665468,2017-06-28,2017,6,3,1,1341,"['python', 'scala', 'apache-spark', 'databricks']",201706,2,Databricks
Connection timed out exception with spark-redshift on EMR,True,1499421670,2017-07-07,2017,7,2,2,835,"['apache-spark', 'apache-spark-sql', 'amazon-emr', 'databricks']",201707,2,Databricks
Redshift: tables info query not working via spark,True,1499700193,2017-07-10,2017,7,1,1,354,"['scala', 'apache-spark', 'amazon-redshift', 'databricks']",201707,2,Databricks
Databrick pyspark: Py4JJavaError: An error occurred while calling o675.load,False,1499855307,2017-07-12,2017,7,0,0,2612,"['mysql', 'apache-spark', 'pyspark', 'databricks']",201707,2,Databricks
databricks avro schema cannot be converted to a Spark SQL structtype,False,1499931039,2017-07-13,2017,7,1,0,764,"['avro', 'apache-kafka-connect', 'databricks', 'spark-avro']",201707,2,Databricks
Databricks: how to convert Spark dataframe under %python to dataframe under %r,True,1500294086,2017-07-17,2017,7,1,2,1533,"['apache-spark', 'pyspark', 'databricks']",201707,2,Databricks
How to manage permissions for S3 mounting in Databricks,False,1500536304,2017-07-20,2017,7,1,0,845,"['amazon-s3', 'permissions', 'mount', 'databricks']",201707,2,Databricks
"write a spark Dataset to json with all keys in the schema, including null columns",True,1500633721,2017-07-21,2017,7,1,6,7011,"['json', 'scala', 'apache-spark', 'databricks']",201707,2,Databricks
Spark Parallelism in Standalone Mode,True,1500727879,2017-07-22,2017,7,3,4,3734,"['apache-spark', 'pyspark', 'databricks']",201707,2,Databricks
Databricks parquet conversion,True,1500921877,2017-07-24,2017,7,1,0,226,"['scala', 'apache-spark', 'parquet', 'databricks']",201707,2,Databricks
Evaluate my forecast using a Pipeline Model,True,1500995263,2017-07-25,2017,7,1,2,173,"['apache', 'scala', 'apache-spark-mllib', 'random-forest', 'databricks']",201707,2,Databricks
Filtering on number of times a value appears in PySpark,True,1501372151,2017-07-30,2017,7,1,1,4910,"['python', 'pyspark', 'databricks']",201707,2,Databricks
Get Unique Keys from a dataframe,True,1501567167,2017-08-01,2017,8,1,0,1100,"['python', 'pyspark', 'databricks']",201708,2,Databricks
Access nested columns in transformers setInputCol() method,True,1501666682,2017-08-02,2017,8,1,0,198,"['scala', 'apache-spark', 'apache-spark-mllib', 'databricks']",201708,2,Databricks
Mongodb Views in spark,True,1501691180,2017-08-02,2017,8,2,1,584,"['mongodb', 'apache-spark', 'databricks']",201708,2,Databricks
XGBoost on databricks - outdated scala version,True,1502204170,2017-08-08,2017,8,1,0,174,"['scala', 'xgboost', 'databricks']",201708,2,Databricks
Weighted average with Spark Datasets without UDF,True,1502393008,2017-08-10,2017,8,1,2,3410,"['scala', 'apache-spark', 'databricks']",201708,2,Databricks
Read XML File in Spark with multiple RowTags,False,1503046895,2017-08-18,2017,8,3,0,3785,"['spark-dataframe', 'databricks', 'apache-spark-xml']",201708,2,Databricks
Databricks Spark Conf,True,1503583855,2017-08-24,2017,8,1,1,998,"['mongodb', 'apache-spark', 'pyspark', 'apache-spark-sql', 'databricks']",201708,2,Databricks
Pass variables from Scala to Python in Databricks,True,1503674990,2017-08-25,2017,8,2,9,7398,"['python', 'apache-spark', 'pyspark', 'apache-spark-sql', 'databricks']",201708,2,Databricks
Extract String from Spark DataFrame,False,1504212075,2017-08-31,2017,8,0,0,35,"['scala', 'apache-spark', 'pyspark', 'spark-dataframe', 'databricks']",201708,2,Databricks
Saving a file locally in Databricks PySpark,True,1504381495,2017-09-02,2017,9,2,1,10019,"['apache-spark', 'pyspark', 'databricks']",201709,2,Databricks
How to add Header info to row info while parsing a xml with spark,True,1504622675,2017-09-05,2017,9,1,0,103,"['xml', 'hadoop', 'apache-spark', 'databricks']",201709,2,Databricks
Databricks display() function equivalent or alternative to Jupyter,True,1504912317,2017-09-09,2017,9,4,9,17467,"['apache-spark', 'jupyter-notebook', 'databricks']",201709,2,Databricks
Outdated Jar in Classpath Databricks,True,1505765451,2017-09-18,2017,9,1,0,599,"['apache-spark', 'classpath', 'spark-dataframe', 'databricks']",201709,2,Databricks
Explode column with array of arrays - PySpark,True,1505938681,2017-09-20,2017,9,1,3,1342,"['python', 'arrays', 'apache-spark', 'pyspark', 'databricks']",201709,2,Databricks
Scala-Spark read and manipulate data from mongoDB: cursor not found exception,False,1506090640,2017-09-22,2017,9,0,1,380,"['mongodb', 'scala', 'apache-spark', 'databricks']",201709,2,Databricks
Spark dataset agg method,True,1506145266,2017-09-23,2017,9,1,0,952,"['apache-spark', 'apache-spark-sql', 'spark-dataframe', 'apache-spark-dataset', 'databricks']",201709,2,Databricks
Cast multiples columns in a DataFrame,True,1506408473,2017-09-26,2017,9,3,0,1687,"['scala', 'apache-spark', 'dataframe', 'casting', 'databricks']",201709,2,Databricks
dataframe/numpy array conversion in Databricks &#39; Deep Learning Pipelines: scalability issue?,True,1506565878,2017-09-28,2017,9,1,1,462,"['numpy', 'apache-spark', 'pyspark', 'deep-learning', 'databricks']",201709,2,Databricks
Fit function cannot perform reduce with flexible type,True,1507322028,2017-10-06,2017,10,1,0,713,"['python', 'linear-regression', 'databricks']",201710,2,Databricks
Does Apache Spark SQL support MERGE clause?,True,1507323865,2017-10-06,2017,10,5,8,9565,"['sql', 'hadoop', 'apache-spark', 'apache-spark-sql', 'databricks']",201710,2,Databricks
how to calculate the execution time taken for the command cell in databricks notebook,False,1507744538,2017-10-11,2017,10,1,4,2663,"['scala', 'databricks']",201710,2,Databricks
Graphframe error in Scala/Spark,True,1508140855,2017-10-16,2017,10,1,1,1749,"['scala', 'apache-spark', 'databricks', 'graphframes']",201710,2,Databricks
Spark Dataset or Dataframe for Aggregation,False,1508267627,2017-10-17,2017,10,1,0,391,"['apache-spark-sql', 'spark-dataframe', 'apache-spark-dataset', 'apache-spark-2.0', 'databricks']",201710,2,Databricks
How to check if a column (of type array) contains a value in SQL (without ANY)?,True,1508358533,2017-10-18,2017,10,1,2,5285,"['sql', 'apache-spark', 'databricks']",201710,2,Databricks
Apache Spark number of executors,False,1508448284,2017-10-19,2017,10,1,0,1241,"['apache-spark', 'apache-spark-sql', 'spark-dataframe', 'databricks']",201710,2,Databricks
Accessing files in S3 bucket from pyspark,False,1508457941,2017-10-20,2017,10,1,1,3657,"['amazon-s3', 'pyspark', 'spark-dataframe', 'databricks']",201710,2,Databricks
How can I combine rows from spark databricks,False,1508970549,2017-10-25,2017,10,1,-1,87,"['python', 'sql', 'apache-spark', 'databricks']",201710,2,Databricks
Spark doing exchange of partitions already correctly distributed,False,1509011542,2017-10-26,2017,10,1,0,342,"['apache-spark', 'apache-spark-sql', 'spark-dataframe', 'apache-spark-dataset', 'databricks']",201710,2,Databricks
"Send Dataframe Using Python works in Python, Not in Spark/Databricks",False,1509134768,2017-10-27,2017,10,0,1,356,"['python', 'pyspark', 'databricks']",201710,2,Databricks
Creating Table from Partitioned Parquet data by using conditions,True,1509350727,2017-10-30,2017,10,1,2,353,"['mysql', 'sql', 'parquet', 'databricks']",201710,2,Databricks
How to import sparkdl in zeppelin,True,1509429758,2017-10-31,2017,10,1,2,966,"['apache-spark', 'apache-zeppelin', 'databricks']",201710,2,Databricks
ConsoleBuffer&#39; object has no attribute &#39;isatty&#39;,True,1509605478,2017-11-02,2017,11,1,0,2237,"['apache-spark', 'deep-learning', 'databricks']",201711,2,Databricks
"How to parse a file with newline character, escaped with \ and not quoted",True,1509952642,2017-11-06,2017,11,1,1,1983,"['scala', 'csv', 'parsing', 'apache-spark', 'databricks']",201711,2,Databricks
How to get the count for each row before half hour period having the value of 1 in a column?,True,1510109920,2017-11-08,2017,11,1,0,61,"['scala', 'dataframe', 'databricks']",201711,2,Databricks
How can i add columns to a dataframe from its own Array[struct] column,False,1510227521,2017-11-09,2017,11,0,1,47,"['scala', 'apache-spark', 'spark-dataframe', 'databricks']",201711,2,Databricks
Tableau Server Connectivity Issue with SparkSQL Connector,False,1510458956,2017-11-12,2017,11,1,0,287,"['pyspark', 'apache-spark-sql', 'tableau-api', 'databricks']",201711,2,Databricks
How do you use map-reduce in scala dataframes when u have 2 fields and second field should be split?,False,1510773207,2017-11-15,2017,11,1,0,1002,"['scala', 'apache-spark', 'dataframe', 'mapreduce', 'databricks']",201711,2,Databricks
how to check if stop streaming from kafka topic by a limited time duration or record count?,True,1511294772,2017-11-21,2017,11,1,1,565,"['apache-spark', 'apache-kafka', 'databricks']",201711,2,Databricks
Spark Structured Streaming throwing Java OOM immediately,True,1511476436,2017-11-23,2017,11,2,0,887,"['apache-spark', 'spark-streaming', 'databricks']",201711,2,Databricks
Programmatically add Databricks spark-csv to Spark 1.6.2 client,True,1511520169,2017-11-24,2017,11,1,1,1267,"['apache-spark', 'pyspark', 'spark-dataframe', 'databricks']",201711,2,Databricks
split big json files into small pieces without breaking the format,False,1512256013,2017-12-02,2017,12,0,1,335,"['json', 'scala', 'shell', 'apache-spark', 'databricks']",201712,2,Databricks
