title,is_answered,creation_timestamp,creation_date,year,month,answer_count,score,view_count,tags,year_month,Technology
How to connect to Azure Sql Managed Instance in VNet from my laptop using point to site connection (P2S)?,True,1547735785,2019-01-17,2019,1,1,0,592,"['sql-server', 'azure', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
How to create Azure VM that could be used to connect to Azure SQL Managed Instance using SSMS?,True,1547736492,2019-01-17,2019,1,1,0,284,"['sql-server', 'azure', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
How to validate and configure existing VNet/subnet for Azure SQL Managed Instance,True,1547767066,2019-01-17,2019,1,1,0,612,"['sql-server', 'azure', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
Why Azure SQL Managed Instance requires UDR 0.0.0.0/0 next hop type Internet,True,1547769483,2019-01-17,2019,1,1,0,384,"['azure', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
Why Azure SQL Managed Instance needs IP address 168.63.129.16 in custom DNS configured in instance subnet and how it affects name resolution,True,1547802195,2019-01-18,2019,1,1,0,697,"['azure', 'dns', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
is tempDB included in the storage limit of managed instance?,True,1547906277,2019-01-19,2019,1,1,0,562,"['azure', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
How to conditionally execute SQL code specific for Azure SQL Managed Instance?,True,1548107809,2019-01-21,2019,1,1,-1,35,"['azure', 'tsql', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
How to find earliest restore point for database on Azure SQL Managed Instance,True,1548157400,2019-01-22,2019,1,1,0,593,['azure-sql-managed-instance'],201901,Azure SQL Managed Instance
SQL MI - manual backups failing on databases with encryption ON,False,1548233541,2019-01-23,2019,1,1,-1,212,['azure-sql-managed-instance'],201901,Azure SQL Managed Instance
Azure SQL Managed Instance Gen4 and Gen5 hardware choices,True,1549282407,2019-02-04,2019,2,2,2,4516,['azure-sql-managed-instance'],201902,Azure SQL Managed Instance
Service Broker External activator with Managed Instance,True,1549555257,2019-02-07,2019,2,1,0,112,['azure-sql-managed-instance'],201902,Azure SQL Managed Instance
Create database using SSMS GUI fails for Azure SQL Managed Instance,True,1550163940,2019-02-14,2019,2,2,0,1326,"['sql-server', 'azure', 'virtual-machine', 'ssms', 'azure-sql-managed-instance']",201902,Azure SQL Managed Instance
TSQL CREATE ASSEMBLY FROM varbinary breaks the class_name parameter,False,1551485111,2019-03-02,2019,3,1,1,1160,"['.net', 'sql-server', '.net-assembly', 'sqlclr', 'azure-sql-managed-instance']",201903,Azure SQL Managed Instance
Azure SQL Slow Query when targeting an index,True,1551943771,2019-03-07,2019,3,2,1,305,"['sql', 'sql-server', 'azure-sql-database', 'azure-sql-managed-instance']",201903,Azure SQL Managed Instance
Azure SQL Managed Instance Routing Tables,True,1552568965,2019-03-14,2019,3,1,1,659,"['azure', 'routing', 'azure-sql-managed-instance']",201903,Azure SQL Managed Instance
Azure Custom Script to restore database from Blob Storage to Managed Instance,True,1552928326,2019-03-18,2019,3,1,0,209,"['sql', 'azure', 'ssms', 'azure-sql-managed-instance']",201903,Azure SQL Managed Instance
Azure SQL Server Managed Instance,True,1552997873,2019-03-19,2019,3,1,2,222,"['sql-server', 'azure-sql-database', 'ssms', 'azure-sql-managed-instance']",201903,Azure SQL Managed Instance
Rename a database on Azure SQL Managed Instance that is part of geo-replication,True,1554472314,2019-04-05,2019,4,1,2,1565,"['azure-sql-managed-instance', 'geo-replication']",201904,Azure SQL Managed Instance
Load data from a file to SQL Managed Instance,False,1554682945,2019-04-08,2019,4,1,-1,517,"['sql', 'azure-sql-managed-instance']",201904,Azure SQL Managed Instance
Restore a large SQL Managed Instance to On Premise,False,1554836346,2019-04-09,2019,4,3,1,396,['azure-sql-managed-instance'],201904,Azure SQL Managed Instance
Linked Servers in SQL Database Managed Instance,False,1554961966,2019-04-11,2019,4,1,0,1996,"['linked-server', 'azure-sql-managed-instance']",201904,Azure SQL Managed Instance
Deleted Database Still Shows in Object Explorer,False,1556026390,2019-04-23,2019,4,1,1,190,"['sql-server', 'azure-sql-database', 'ssms', 'azure-sql-managed-instance']",201904,Azure SQL Managed Instance
Cannot get Azure Managed Instance SQL server using GetByResourceGroup,False,1556714684,2019-05-01,2019,5,0,3,225,"['azure-sql-database', 'azure-sql-managed-instance']",201905,Azure SQL Managed Instance
How to create a new database user with limited privileges for Azure SQL,False,1558330432,2019-05-20,2019,5,0,2,1395,"['azure', 'azure-sql-database', 'azure-sql-managed-instance']",201905,Azure SQL Managed Instance
Runbook Powershell Invoke-Sqlcmd SQL Server MI connection,True,1560302720,2019-06-12,2019,6,1,0,1006,"['powershell', 'azure-automation', 'azure-runbook', 'azure-sql-managed-instance']",201906,Azure SQL Managed Instance
Connecting Azure WebApp Service to SQL Managed Instance via Private Endpoint,False,1560511767,2019-06-14,2019,6,0,1,1340,"['azure', 'azure-web-app-service', 'azure-sql-managed-instance']",201906,Azure SQL Managed Instance
Why Managed instance is taking more time to create?,True,1560954146,2019-06-19,2019,6,2,1,604,"['azure', 'azure-sql-managed-instance']",201906,Azure SQL Managed Instance
How to subtract two datetime values and get the output in HH:MM:SS format in SQL Server?,True,1563387839,2019-07-17,2019,7,1,0,112,"['sql-server', 'function', 'datetime', 'formatting', 'azure-sql-managed-instance']",201907,Azure SQL Managed Instance
How to check how long a DB restore took on Azure SQL Managed Instance?,True,1563928785,2019-07-24,2019,7,1,1,771,"['azure', 'powershell', 'azure-cli', 'azure-sql-managed-instance']",201907,Azure SQL Managed Instance
Managed Instance SQL Size (8TB General purpose) is per database or per SQL instance,False,1563953834,2019-07-24,2019,7,1,0,280,"['azure', 'azure-sql-managed-instance']",201907,Azure SQL Managed Instance
How do i login to azure SQL using users identity from a ASP.Net application,True,1568885461,2019-09-19,2019,9,1,0,160,"['c#', 'azure', 'azure-active-directory', 'openid-connect', 'azure-sql-managed-instance']",201909,Azure SQL Managed Instance
Connectivity to Azure Managed SQL Instance from local SSMS,False,1569336232,2019-09-24,2019,9,1,0,591,"['azure-sql-database', 'azure-sql-managed-instance']",201909,Azure SQL Managed Instance
How do you specify a serverless database in an ARM template in Azure?,True,1569593368,2019-09-27,2019,9,2,1,1347,"['azure', 'azure-sql-database', 'serverless', 'azure-sql-managed-instance']",201909,Azure SQL Managed Instance
Is there a REST API alternative to Set-AzSqlInstanceDatabaseBackupShortTermRetentionPolicy?,False,1570178152,2019-10-04,2019,10,1,0,63,"['azure', 'azure-management-api', 'azure-sql-managed-instance', 'azure-managed-database']",201910,Azure SQL Managed Instance
Does SSRS in an Azure Virtual VM support Report Server Databases as Azure SQL Database and/or Azure SQL MAnaged Instance?,False,1570644266,2019-10-09,2019,10,1,1,242,"['azure-sql-database', 'azure-sql-managed-instance', 'reporting-services-2016', 'azure-sql-reporting']",201910,Azure SQL Managed Instance
DB mail configuration on Azure managed instance,False,1573486130,2019-11-11,2019,11,2,-2,875,"['azure-sql-database', 'azure-sql-managed-instance', 'azure-managed-database']",201911,Azure SQL Managed Instance
How to load Informatica Rejected rows due to &#39;Database errors&#39; to a relational table,True,1573651847,2019-11-13,2019,11,2,0,378,"['sql-server', 'error-handling', 'informatica', 'informatica-powercenter', 'azure-sql-managed-instance']",201911,Azure SQL Managed Instance
Setting Active Directory Admin for Azure SQL Managed Instance Fails,False,1574030277,2019-11-17,2019,11,0,2,1523,"['azure', 'azure-active-directory', 'azure-sql-managed-instance']",201911,Azure SQL Managed Instance
What are the possible ways to deploy a SQL 2016 database to Azure SQL Managed Instance?,True,1574156381,2019-11-19,2019,11,1,0,48,"['azure', 'azure-sql-managed-instance']",201911,Azure SQL Managed Instance
Get actual execution plan for query taking more than hours?,True,1574794518,2019-11-26,2019,11,1,1,259,"['sql-server', 'sql-server-2012', 'sql-server-2014', 'sql-server-2017', 'azure-sql-managed-instance']",201911,Azure SQL Managed Instance
How to connect an Azure SQL Managed Instance to an Azure App Service (written in .NET Core 2.2),True,1576215285,2019-12-13,2019,12,2,1,2788,"['azure', 'connection-string', 'azure-app-service-envrmnt', 'azure-sql-managed-instance']",201912,Azure SQL Managed Instance
The semaphore timeout period has expired,False,1576553117,2019-12-17,2019,12,0,1,986,"['sql-server', 'ssis', 'ssms-2012', 'azure-sql-managed-instance']",201912,Azure SQL Managed Instance
Is there any way to backup TDE enable Azure DB(Managed Instance),False,1576666810,2019-12-18,2019,12,2,0,207,"['database-backups', 'tde', 'azure-sql-managed-instance']",201912,Azure SQL Managed Instance
Consecutive While loops within a stored procedure in SQL Server,True,1577374356,2019-12-26,2019,12,1,0,501,"['sql-server', 'stored-procedures', 'while-loop', 'temp', 'azure-sql-managed-instance']",201912,Azure SQL Managed Instance
Azure SQL Managed Instance with private IP vitual nework,False,1577440773,2019-12-27,2019,12,1,0,413,['azure-sql-managed-instance'],201912,Azure SQL Managed Instance
How to grep dnszone from azure SQL Managed Instance connection-string,True,1578294454,2020-01-06,2020,1,2,0,135,"['linux', 'azure', 'azure-sql-managed-instance', 'az']",202001,Azure SQL Managed Instance
Why do my SQL Server calls sometimes stall for 14.3 seconds?,False,1578427356,2020-01-07,2020,1,0,0,89,"['sql-server', 'azure-webapps', 'azure-sql-managed-instance']",202001,Azure SQL Managed Instance
I am trying to connect to my azure managed instance(configured fail over group) using listener end point from SSMS,True,1580698779,2020-02-03,2020,2,1,0,701,"['azure', 'failover', 'azure-sql-managed-instance']",202002,Azure SQL Managed Instance
Sometime we need to open encryption key manually after failover and sometime not,False,1580864647,2020-02-05,2020,2,1,0,204,"['azure', 'failover', 'azure-sql-managed-instance']",202002,Azure SQL Managed Instance
Can i backup my service master key stored in azure managed instance?,False,1580881674,2020-02-05,2020,2,2,2,95,"['azure', 'azure-sql-managed-instance']",202002,Azure SQL Managed Instance
How can we add multiple subscriptions to one On-Premise Data Gateway?,False,1581081751,2020-02-07,2020,2,1,2,855,"['azure', 'azure-sql-managed-instance', 'powerbi-datagateway']",202002,Azure SQL Managed Instance
How do you drop an in use database in Azure Sql Managed Instance?,True,1581517618,2020-02-12,2020,2,1,0,401,"['sql-server', 'azure-sql-managed-instance']",202002,Azure SQL Managed Instance
How to change connect_timeout in Azure MySQL,False,1581674602,2020-02-14,2020,2,0,0,409,"['mysql', 'azure', 'azure-sql-managed-instance', 'connect-timeout']",202002,Azure SQL Managed Instance
Restoring database in azure managed instance from one subscription to another,True,1582785807,2020-02-27,2020,2,2,0,684,"['azure', 'azure-sql-managed-instance', 'azure-managed-database']",202002,Azure SQL Managed Instance
How to add two time values stored as decimal in SQL Server,True,1583474270,2020-03-06,2020,3,2,0,48,"['sql-server', 'time', 'type-conversion', 'sqldatatypes', 'azure-sql-managed-instance']",202003,Azure SQL Managed Instance
"Azure SQL Database storage error, it shows a lot of unallocated error",False,1583910875,2020-03-11,2020,3,1,0,84,"['azure', 'azure-sql-database', 'azure-sql-managed-instance']",202003,Azure SQL Managed Instance
Unable to connect Azure SQL Managed Instance datasource from Azure Search Service,True,1584324845,2020-03-16,2020,3,1,0,901,"['azure', 'azure-cognitive-search', 'azure-sql-managed-instance']",202003,Azure SQL Managed Instance
Product version of Azure SQL Managed Instance,True,1584546610,2020-03-18,2020,3,1,1,225,['azure-sql-managed-instance'],202003,Azure SQL Managed Instance
How we connect read only intent in azure sql manage instance?,True,1584605372,2020-03-19,2020,3,2,1,1334,"['azure', 'azure-sql-database', 'azure-sql-managed-instance']",202003,Azure SQL Managed Instance
Azure Managed instance failover with transnational replication,False,1585659279,2020-03-31,2020,3,2,1,66,"['azure', 'transactional-replication', 'azure-sql-managed-instance']",202003,Azure SQL Managed Instance
How to change timezone of SQL server manage instance in azure?,True,1585727732,2020-04-01,2020,4,2,0,1330,"['azure', 'azure-sql-database', 'azure-sql-managed-instance']",202004,Azure SQL Managed Instance
How to take backup of azure SQL-Managed Instance backup to azure blob,True,1585731324,2020-04-01,2020,4,3,3,6341,"['tsql', 'azure-sql-database', 'azure-sql-managed-instance']",202004,Azure SQL Managed Instance
SQL &#39;Like&#39; function - Clarification,True,1586249602,2020-04-07,2020,4,1,0,49,"['sql', 'sql-server', 'function', 'sql-like', 'azure-sql-managed-instance']",202004,Azure SQL Managed Instance
Elastic job agent should work with Azure Manage Instance database?,True,1589375378,2020-05-13,2020,5,1,0,258,"['azure', 'azure-sql-database', 'azure-sql-managed-instance', 'azure-elasticpool']",202005,Azure SQL Managed Instance
Azure SQL: Group a result based on a sub select statement,True,1590060481,2020-05-21,2020,5,1,0,19,"['sql', 'group-by', 'azure-sql-managed-instance']",202005,Azure SQL Managed Instance
"Azure SQL Managed Instance error &quot;Could not load the DLL odsole70.dll, or one of the DLLs it references&quot;",False,1590089594,2020-05-21,2020,5,1,1,591,"['azure-sql-database', 'azure-sql-managed-instance']",202005,Azure SQL Managed Instance
AZURE SQL MI Error: Stale/aborted version cleanup was aborted for database id &#39;10&#39; due to database shutdown,False,1591383321,2020-06-05,2020,6,1,0,63,"['sql-server', 'azure-sql-server', 'azure-sql-managed-instance']",202006,Azure SQL Managed Instance
Multiple SQL instance on Azure,True,1592149438,2020-06-14,2020,6,1,0,426,"['sql-server', 'azure', 'azure-sql-database', 'azure-sql-server', 'azure-sql-managed-instance']",202006,Azure SQL Managed Instance
Azure SQL Does not allow login for Created Clients,True,1594339319,2020-07-10,2020,7,1,0,88,"['sql', 'azure', 'azure-sql-database', 'azure-sql-data-warehouse', 'azure-sql-managed-instance']",202007,Azure SQL Managed Instance
SQL Server Snapshot replication - Failing to start the Publisher snapshot agent,False,1594354180,2020-07-10,2020,7,0,0,181,"['sql-server', 'azure', 'database-replication', 'azure-sql-managed-instance']",202007,Azure SQL Managed Instance
Unable to provide access to Key Vault for Managed instance using powershell,False,1595491742,2020-07-23,2020,7,1,0,118,"['azure-keyvault', 'azure-sql-managed-instance']",202007,Azure SQL Managed Instance
How do I connect Power BI to my Azure SQL Managed Instance on an Azure VNET?,False,1598354886,2020-08-25,2020,8,1,1,1882,"['sql', 'azure', 'powerbi', 'azure-sql-managed-instance']",202008,Azure SQL Managed Instance
See history of sql statements run by user in Azure SQL,True,1599119573,2020-09-03,2020,9,2,1,554,"['azure-sql-database', 'azure-sql-server', 'azure-sql-managed-instance']",202009,Azure SQL Managed Instance
Import data from a file in a shared folder location to SQL Managed Instance?,False,1599786860,2020-09-11,2020,9,1,0,197,"['azure', 'import', 'azure-sql-managed-instance']",202009,Azure SQL Managed Instance
What extra one gets by selecting Azure SQL Managed Instance vis-a-vis Azure SQL DB PaaS,True,1601040565,2020-09-25,2020,9,2,10,3955,"['azure', 'azure-sql-database', 'azure-sql-managed-instance']",202009,Azure SQL Managed Instance
ServerName for Get-AzSqlDatabaseLongTermRetentionPolicy and Set-AzSqlDatabaseLongTermRetentionPolicy with Azure Managed Instance,True,1601067482,2020-09-25,2020,9,1,0,21,"['azure-sql-managed-instance', 'powershell-az-module']",202009,Azure SQL Managed Instance
Should we have to use Failover Group server name or Primary server name in SQL Server managed instance connection string,True,1602052650,2020-10-07,2020,10,1,1,103,"['sql-server', 'azure', 'azure-sql-managed-instance', 'automatic-failover']",202010,Azure SQL Managed Instance
Best practices for managing connections for database polling using pyodbc?,False,1603561102,2020-10-24,2020,10,0,1,276,"['odbc', 'python-multithreading', 'pyodbc', 'azure-sql-managed-instance']",202010,Azure SQL Managed Instance
Azure Data Factory - Azure SQL Managed Services incorrect Output column type,False,1603901303,2020-10-28,2020,10,1,0,94,"['azure', 'azure-data-factory', 'azure-data-factory-2', 'azure-sql-managed-instance']",202010,Azure SQL Managed Instance
Does Horizontal scaling(scale out) option available in AZURE SQL Managed Instance?,True,1604382140,2020-11-03,2020,11,2,-1,336,"['azure-sql-database', 'azure-sql-managed-instance']",202011,Azure SQL Managed Instance
How to run sql profiler on read only node of SQL Manage instance in Azure?,True,1604473976,2020-11-04,2020,11,2,0,149,"['azure-sql-database', 'azure-sql-managed-instance']",202011,Azure SQL Managed Instance
Trying to create a VM to acess a SQL Azure Managed Instance - (The selected subnet is not supported),True,1606237237,2020-11-24,2020,11,2,0,607,"['azure-vm', 'azure-sql-managed-instance']",202011,Azure SQL Managed Instance
Azure - never ending Full Backup Uploading in Database Migration Service,True,1606402639,2020-11-26,2020,11,2,0,66,"['azure', 'dms', 'azure-sql-managed-instance']",202011,Azure SQL Managed Instance
Power BI Data Refresh from Azure Managed Instance,True,1607373429,2020-12-07,2020,12,1,0,128,"['azure', 'powershell', 'powerbi', 'azure-sql-managed-instance']",202012,Azure SQL Managed Instance
verification of SQL Managed Instance migration,True,1608187279,2020-12-17,2020,12,1,0,39,"['azure', 'azure-sql-managed-instance', 'sqlmigrations']",202012,Azure SQL Managed Instance
How do Azure SQL scaling features change schema design?,True,1609540735,2021-01-01,2021,1,1,-1,58,"['sql-server', 'azure', 'azure-sql-database', 'azure-sql-server', 'azure-sql-managed-instance']",202101,Azure SQL Managed Instance
Azure Manage Instance Student Cost,True,1609778846,2021-01-04,2021,1,1,0,27,"['azure', 'azure-sql-managed-instance']",202101,Azure SQL Managed Instance
Getting error in alter statements in azure sql managed instance,False,1610436750,2021-01-12,2021,1,1,-1,208,"['azure', 'azure-sql-database', 'azure-sql-managed-instance']",202101,Azure SQL Managed Instance
Multiple composite index vs single non-clustered column store index,True,1611722957,2021-01-27,2021,1,1,0,116,"['sql-server', 'non-clustered-index', 'columnstore', 'indexed-view', 'azure-sql-managed-instance']",202101,Azure SQL Managed Instance
How to configure retention period for a Azure Blob folder?,False,1612206851,2021-02-01,2021,2,1,-1,181,"['sql-server', 'azure', 'blob', 'retention', 'azure-sql-managed-instance']",202102,Azure SQL Managed Instance
How to schedule daily backup of azure sql managed instance databases to an azure blob,True,1612256826,2021-02-02,2021,2,1,0,546,"['azure', 'cron', 'azure-blob-storage', 'database-backups', 'azure-sql-managed-instance']",202102,Azure SQL Managed Instance
Why can&#39;t I restore a SQL Backup on a newer Version? Error 3169,True,1613029800,2021-02-11,2021,2,2,0,87,"['backup', 'sql-server-2019', 'azure-sql-managed-instance']",202102,Azure SQL Managed Instance
Composite index on three columns,True,1613546758,2021-02-17,2021,2,3,0,163,"['sql-server', 'indexing', 'query-optimization', 'azure-sql-managed-instance', 'composite-index']",202102,Azure SQL Managed Instance
Azure Database Migration Service stuck at &quot;log shipping in progress&quot;,True,1613986786,2021-02-22,2021,2,2,1,225,"['azure', 'database-migration', 'azure-sql-managed-instance']",202102,Azure SQL Managed Instance
Alternative to xp_cmdshell in Azure SQL Managed Instance to rename files?,True,1614090114,2021-02-23,2021,2,1,0,364,"['sql-server', 'azure', 'azure-sql-managed-instance']",202102,Azure SQL Managed Instance
Azure SQL Managed instance latency to read replica,False,1614293389,2021-02-25,2021,2,1,-1,134,"['metrics', 'latency', 'azure-sql-managed-instance']",202102,Azure SQL Managed Instance
Need to create Azure SQL Managed Instance from existing VNET and SUBENT using ARM,False,1614408554,2021-02-27,2021,2,0,0,47,['azure-sql-managed-instance'],202102,Azure SQL Managed Instance
Suggest a way to take full backup &amp; transactional log backups of my databases with &quot;checksum&quot; in my SQL Server 2008 SP1 Enterprise Edition,False,1614686607,2021-03-02,2021,3,0,0,23,"['azure', 'sql-server-2008', 'database-migration', 'checksum', 'azure-sql-managed-instance']",202103,Azure SQL Managed Instance
Azure SQL Managed Instance run Automation Account&#39;s notebooks,False,1614687025,2021-03-02,2021,3,0,3,62,"['azure', 'azure-sql-managed-instance']",202103,Azure SQL Managed Instance
Decryption issue with Azure SQL Managed Instance CLE on secondary instance of a failover group,True,1614820726,2021-03-04,2021,3,1,0,213,"['azure', 'encryption', 'database-replication', 'failover', 'azure-sql-managed-instance']",202103,Azure SQL Managed Instance
what is the best way to copy a large sql database from azure managed instance to azure single database?,True,1615498977,2021-03-11,2021,3,1,0,142,"['azure-sql-database', 'azure-sql-managed-instance']",202103,Azure SQL Managed Instance
"Cross Database Queries in Azure Synapse, Azure SQL Database, Azure Managed Instance and On Premise SQL Server",True,1615569141,2021-03-12,2021,3,2,1,2306,"['azure', 'azure-sql-database', 'azure-synapse', 'azure-sql-managed-instance', 'cross-database']",202103,Azure SQL Managed Instance
Connecting Azure App Service to SQL Managed Instance Failover Group,False,1615916666,2021-03-16,2021,3,0,0,143,"['azure', 'azure-web-app-service', 'failover', 'azure-appservice', 'azure-sql-managed-instance']",202103,Azure SQL Managed Instance
How can I execute a web get from within an Azure SQL managed instance,False,1616002676,2021-03-17,2021,3,0,0,30,"['sql', 'azure', 'azure-sql-managed-instance', 'webget']",202103,Azure SQL Managed Instance
Merge Replication workaround in Azure SQL Managed Instance,False,1616144913,2021-03-19,2021,3,0,0,43,"['azure', 'merge-replication', 'azure-sql-managed-instance', 'azure-sql-server-managed-instance']",202103,Azure SQL Managed Instance
Linked servers and Azure managed instance,False,1616525485,2021-03-23,2021,3,0,0,55,"['linked-server', 'azure-sql-managed-instance']",202103,Azure SQL Managed Instance
SQL Login with &#39;@&#39; in the name (e.g. emails) not working in Azure SQL Managed Instance,False,1616680889,2021-03-25,2021,3,0,0,120,"['azure', 'azure-sql-managed-instance']",202103,Azure SQL Managed Instance
How to get size of Database in Azure SQL Managed Instance using Azure Management Fluent API?,False,1616749973,2021-03-26,2021,3,3,3,596,"['azure', 'azure-sql-managed-instance']",202103,Azure SQL Managed Instance
Need Support to finalize the Migration method to migrate a Azure SQL MI Databases from Azure Cloud-Company Account to Azure Cloud-Clients Accounts,False,1617004927,2021-03-29,2021,3,1,0,19,"['azure', 'database-migration', 'subscription', 'azure-cloud-services', 'azure-sql-managed-instance']",202103,Azure SQL Managed Instance
I got error in SQL server I am using managed instance i am getting information only from which database i need to know from which application also,False,1617303005,2021-04-01,2021,4,0,0,20,['azure-sql-managed-instance'],202104,Azure SQL Managed Instance
How do I disconnect open connections to an Azure SQL Managed Instance?,True,1619012275,2021-04-21,2021,4,1,1,91,"['c#', 'sql-server', 'database', 'restore', 'azure-sql-managed-instance']",202104,Azure SQL Managed Instance
How can I run multiple instances of a SQL Server stored procedure in parallel,True,1619334544,2021-04-25,2021,4,1,1,82,"['sql-server', 'azure-sql-database', 'azure-data-factory-2', 'azure-sql-server', 'azure-sql-managed-instance']",202104,Azure SQL Managed Instance
Azure-SQL: Is there anyway to connect to Azure SQL Server using jTDS with TLS 1.2?,True,1619661556,2021-04-29,2021,4,2,3,931,"['java', 'sql-server', 'azure', 'jtds', 'azure-sql-managed-instance']",202104,Azure SQL Managed Instance
SQL Server creation failing on Azure due to policies in place,False,1619821961,2021-04-30,2021,4,2,0,66,"['azure-sql-database', 'azure-policy', 'azure-sql-managed-instance']",202104,Azure SQL Managed Instance
Azure SQL MI .. how can I force tempdb autogrowth?,False,1620142860,2021-05-04,2021,5,0,0,46,"['tsql', 'sql-server-2008', 'azure-sql-managed-instance', 'tempdb']",202105,Azure SQL Managed Instance
Where do CREATE EXTERNAL DATA SOURCE live?,False,1620312658,2021-05-06,2021,5,0,0,14,['azure-sql-managed-instance'],202105,Azure SQL Managed Instance
